sample_id,image_id,question,ground_truth,question_type_structural,question_type_semantic
07639572,2386784,What is covered in sea foam?,surfboard,query,rel
191038862,2367639,Is the plant in a vase?,no,verify,rel
06313835,150356,Who is standing?,man,query,cat
10281484,2358727,Do you see any checkered tablecloths or tables?,yes,logical,obj
17456829,2369861,Is this rug brown or blue?,blue,choose,attr
13517306,2408450,What place was the photo taken at?,station,query,global
13275255,2345745,What is on the plate that is to the left of the beverage?,knife,query,rel
02759474,2344041,Are there either napkins or brooms in the photo?,no,logical,obj
16540407,2411094,Are there both towels and mirrors in the picture?,no,logical,obj
123230,2410046,Is the ground white or black?,white,choose,attr
15705216,2345287,Which side is the shelf on?,left,query,attr
13294481,2338299,Which kind of animal is it?,elephant,query,cat
03297650,2371554,Is it an indoors scene?,yes,verify,global
19831270,2412358,What is the man in the crowd wearing?,hat,query,rel
14904180,2342525,Is it outdoors?,yes,verify,global
17797182,2345193,What color is the shirt the woman is wearing?,red,query,attr
07142578,2392341,What is in front of the faucet?,sink,query,rel
0797841,2361918,What vehicle is to the right of the dark car?,bus,query,rel
01530372,4426,What is the fence made of?,metal,query,attr
09795233,2316255,Is the fire extinguisher different in color than the sky?,yes,compare,attr
07742316,2351463,Are there any children or men?,no,logical,obj
19929863,2397231,What is the bench in front of?,tree,query,rel
06846279,2383239,Is the lady to the left of glasses?,no,verify,rel
16409146,2397884,Is the train white?,yes,verify,attr
00839093,2407659,In which part of the photo is the brown animal?,left,query,attr
13831517,2362843,Does the roof have the same color as the post?,no,compare,attr
04813428,2373574,What is the food on the plate that is to the right of the orange?,sushi,query,rel
17569381,2409707,Are the napkins to the right of the person on the left side?,yes,verify,rel
05720322,2388805,Which kind of device is on the table?,television,query,rel
19900274,2316836,Is there any laptop on the table?,no,verify,rel
05175025,2338286,Is there an oven to the left of the fridge that is to the left of the lamp?,no,verify,rel
19284369,2341763,Do you see both a door and a window?,yes,logical,obj
11595526,2407603,What's the trash can made of?,metal,query,attr
08832502,2383601,Is the happy man to the left or to the right of the cone?,right,choose,rel
13387365,2323659,Who is wearing the socks?,child,query,rel
10611152,1159729,What kind of appliance is to the left of the blender in the center?,coffee maker,query,rel
19388759,2325119,What is in the container?,cabbage,query,rel
02620369,2413347,Do the shorts have a different color than the trunks?,no,compare,attr
196941,2356670,What's the fence made of?,wood,query,attr
18445197,2333821,What is hanging on the brick wall?,flag,query,rel
162519,2399406,"What animal are the trees behind of, an elephant or a horse?",horse,choose,rel
1638555,2385819,Was paper used to make the cup to the left of the plate?,no,verify,attr
09958590,2371178,Do you see any bus on the side of the street?,no,verify,rel
18495742,2367541,Is there either a truck or a mirror in the picture?,no,logical,obj
071027132,2368607,Is the plate both full and blue?,yes,logical,attr
01892468,2409346,Which side of the photo is the cake on?,right,query,attr
121035917,2366019,Is he reaching for a ball?,no,verify,rel
06342748,2414208,Is the man to the right of a girl?,yes,verify,rel
04871139,2323424,On which side of the picture are the batteries?,right,query,attr
08988237,2386662,Are there toilets near the urinal?,yes,verify,rel
00101393,2356112,Is the sky blue?,yes,verify,attr
15569187,2369303,What animal is resting on the counter?,cat,query,rel
05399723,2349811,On which side of the photo is the toaster?,left,query,attr
00942597,2368952,Who is wearing a wristband?,soccer player,query,rel
161055690,2381697,Is the office chair in the top part?,yes,verify,attr
03452485,2319264,On which side is the box?,right,query,attr
04800662,2366663,Who is in front of the vehicles?,spectators,query,rel
04197139,2390677,Are there both a door and a window in this image?,no,logical,obj
19722362,2409991,Does the gray rug look rectangular?,no,verify,attr
08157936,2416882,Are there both windows and cars in the scene?,no,logical,obj
16270020,2407148,Is the woman to the left or to the right of the picture on the wall?,right,choose,rel
17319928,2338989,What is on the green sign?,flag,query,rel
14333836,2392431,Are the trees behind the rock brown and dry?,no,logical,attr
01782896,2417181,Who do you think uses the marker?,woman,query,rel
10416960,2384448,What is the appliance to the left of the table called?,heater,query,rel
09726869,1522,What device is sitting on the desk?,computer,query,rel
04679112,2365189,Is there either a white keyboard or Wii remotes?,no,logical,obj
1872725,2315718,Who is wearing a shoe?,man,query,rel
14823603,2415340,Who is wearing the clothes?,officers,query,rel
07900315,2404338,Is the truck empty and white?,no,logical,attr
17380615,2413638,What is the fruit to the left of the food that is in the middle of the image?,banana,query,rel
041026992,2342324,What does the person to the left of the bike wear?,mask,query,rel
1683024,2370783,On which side of the picture is the car?,left,query,attr
06187860,2193,What is the cooking utensil to the right of the fruit on the left of the image?,cutting board,query,rel
05346377,2389085,What color does the carpet have?,orange,query,attr
02718209,2319558,"What kind of furniture is not wooden, the chair or the table?",chair,choose,cat
02548462,2405421,Do you see pizzas or chairs in this picture?,yes,logical,obj
19517906,2376529,What animal is wearing a vest?,dog,query,rel
08529398,2348614,"What color are the letters, black or orange?",black,choose,attr
01165173,2364642,Is there either a white pot or kettle?,no,logical,obj
18418493,2357178,Are there any jets near the metal fence?,yes,verify,rel
10662285,2316905,Is there a woman in the photograph?,no,verify,obj
19388822,2325119,Which kind of food is to the left of the plate?,soup,query,rel
12262425,2351509,What animal is in front of the shelter?,horse,query,rel
19738608,2403712,Is the officer on the motorcycle wearing a shirt?,yes,verify,rel
16642960,2361351,Does the sky look blue and cloudy?,no,logical,attr
07877734,2355789,What vehicle is to the right of the man?,bus,query,rel
19904735,2368905,What is in front of the tent?,gate,query,rel
07753661,2350027,What is the guy wearing?,shorts,query,rel
05683583,2373169,On which side of the image is the man?,right,query,attr
13451111,2410753,What is the monitor larger than?,laptop,query,rel
12401491,2391642,Is the bottle to the left or to the right of the large bowl?,left,choose,rel
14541042,2392572,Is it an indoors or outdoors scene?,indoors,choose,global
10981648,2390101,Is the player to the left of a racket?,no,verify,rel
141036559,2392868,Are there umbrellas or bags?,yes,logical,obj
01945342,2375580,How is the device to the left of the person that is in front of the window called?,projector,query,rel
09240859,2353102,Which color do you think is the shirt that the man wears?,white,query,attr
01535217,2381126,Are there any televisions or phones that are silver?,yes,logical,obj
07831564,2341246,Which side is the white pillow on?,left,query,attr
01863701,2393007,Do you see either a mirror or an umbrella there?,no,logical,obj
031016908,268,Is the laptop to the left or to the right of the keyboard that is to the left of the speaker?,left,choose,rel
101013199,2374319,Are there both pepperoni and cheese in the photograph?,yes,logical,obj
0224324,2353084,Are there both fences and giraffes in this scene?,yes,logical,obj
09300510,2340989,What color is the truck?,orange,query,attr
13127407,2403783,Is the woman to the right of a bottle?,yes,verify,rel
0881158,2346491,Do the remote to the right of the speaker and the device to the right of the computer both seem to be silver?,yes,logical,obj
01542761,2406278,Is the bag orange?,no,verify,attr
05193882,2329965,What does the bouquet to the left of him contain?,flower,query,rel
1323401,2396504,What kind of baked good is it?,donut,query,cat
19360948,2355370,What is the vegetable that is to the right of the curtain?,pepper,query,rel
0840150,2398754,On which side of the picture is the man?,left,query,attr
05773172,2365989,What color is the sky?,orange,query,attr
1067170,2336295,Which place is it?,ocean,query,global
16356748,2361927,Is the calm water blue or brown?,blue,choose,attr
04805752,2383162,Which place is it?,path,query,global
04736280,2403830,What is before the wall?,bench,query,rel
051058996,2351315,Are there both a truck and an airplane in this image?,yes,logical,obj
0055303,2370424,Who is wearing gloves?,lady,query,rel
10690348,2322694,What is the person in front of?,plant,query,rel
01998769,2408242,On which side of the photo is the curtain?,right,query,attr
03815941,2405454,What is in front of the wall the picture is on?,sink,query,rel
0966003,2323212,Do the jackets look dark?,yes,verify,attr
14421511,2338882,Which kind of fruit is on the plate?,apples,query,rel
12880964,2390599,Is there a truck to the left of the people that are wearing helmets?,yes,verify,rel
17312211,2405349,Which kind of animal are the trees behind of?,elephant,query,rel
08877819,2335811,Are there shampoos or napkins in this scene?,no,logical,obj
1638503,2385819,Is the bowl in the top part of the photo?,yes,verify,attr
12324593,2408616,Are there any fences to the right of the brown animal?,yes,verify,rel
10960213,2347450,Is the man to the right or to the left of the bag the woman is carrying?,left,choose,rel
08209505,2373103,What's the man holding?,racket,query,rel
1462225,2323323,On which side of the photo is the hydrant?,left,query,attr
1654837,2336114,Who is wearing the shoe?,player,query,rel
14682234,2405401,What kind of animal is pulling the carriage?,horses,query,rel
09937806,2348458,Is the brown chair made of wood?,yes,verify,attr
02455893,2338551,What is the name of the wooden item of furniture?,table,query,cat
1525461,2363859,What is that pizza on?,tablecloth,query,rel
04472229,2402155,Does the sky look clear?,no,verify,attr
18297316,2398651,Do you think the hair clip is green or black?,green,choose,attr
02659414,2323938,What kind of food is on the plate?,rice,query,rel
16144685,2378976,Is the banana on the right or on the left side of the image?,right,choose,attr
18722631,2414341,Is the tie dotted or checkered?,dotted,choose,attr
13556250,2371168,What kind of animal is the baby looking at?,calf,query,rel
06580739,2395431,The man to the right of the backpack is sitting next to who?,woman,query,rel
0549523,2323459,Is there a cat in this picture?,yes,verify,obj
17882225,2403214,What is he on?,motorcycle,query,rel
09655439,2407817,What color is the pine that is not short?,green,query,attr
161027509,2368893,Are there any lamps on the side of the room?,yes,verify,rel
06313772,150356,"What color are the shoes, yellow or blue?",yellow,choose,attr
1033680,2411656,How tall is the fence?,tall,query,attr
02247525,2386019,Who is in front of the stairs?,snowboarder,query,rel
06963775,2374420,Does the word have a different color than the tshirt?,yes,compare,attr
0156688,2322185,Is the person on the snowboard wearing a hat?,yes,verify,rel
00610098,2401618,Which kind of animal is large?,giraffe,query,cat
0662419,2408813,Does the palm look tall and thin?,yes,logical,attr
05111675,2363282,Are there both pizzas and forks in this image?,yes,logical,obj
04157882,498397,What is he wearing?,shirt,query,rel
11136250,1159923,What is on the silver tray?,pizza,query,rel
181047633,2378665,Is there a goat near the sheep?,no,verify,rel
09672672,2369215,Does the jacket have black color?,yes,verify,attr
19286295,2401553,Is that dirt dry and brown?,yes,logical,attr
16403257,2412845,Do you see either any sand or grass that are brown?,yes,logical,obj
02352299,2406586,What piece of furniture is made of wood?,desk,query,cat
1396080,2357625,Which color is the boy's hair?,red,query,attr
00638027,2317105,Which kind of animal is to the left of the boy?,zebra,query,rel
08928799,2393923,What type of device is the person to the right of the screen holding?,cell phone,query,rel
09567520,2375017,Are there both doors and windows in this photograph?,yes,logical,obj
03113337,2407164,What does the woman wear?,pants,query,rel
08161423,2361664,Are there any men to the right of the bag that is to the right of the woman?,yes,verify,rel
12702051,2396455,Are there any pots to the right of the person on the left side of the photo?,yes,verify,rel
17877928,2326665,What is the name of the vegetable that is to the right of the potato on the left?,carrot,query,rel
15804305,2325937,What is located on top of the dark jacket?,scarf,query,rel
17836708,2391143,What are the pillows on?,comforter,query,rel
12546475,2321178,What color is the chair on the right of the image?,brown,query,attr
02539722,2403960,Is the picture on the right side of the photo?,yes,verify,attr
15617475,2342145,Is the person that looks still wearing boots?,yes,verify,rel
1369836,2342793,What is the color of the chair that is on the left side?,dark,query,attr
11109238,2339498,What are the zebras in front of?,bush,query,rel
10979451,2390108,What are the artichokes on?,pizza,query,rel
17220610,2369906,Are there both mirrors and toilet papers in this photo?,yes,logical,obj
13595079,2400094,Who is wearing a shirt?,girl,query,rel
14897393,2399882,What is in front of the trash bin?,tree,query,rel
00839267,2407659,On which side of the image is the boy?,left,query,attr
01135874,2377787,On which side of the picture is the plate?,right,query,attr
081020774,2408787,What are the animals that are in the large field?,horses,query,rel
04728846,2413340,What is the appliance to the right of the cup?,cooker,query,rel
19757561,2385218,How is the weather?,overcast,query,global
09118114,2319755,Is the man to the right or to the left of the person that is holding the camera?,right,choose,rel
02751859,2326912,Is the cat both brown and healthy?,yes,logical,attr
01924195,2343665,What kind of clothing is gray?,shirt,query,cat
03337517,2377193,What kind of furniture is small?,couch,query,cat
10355495,2332541,Are the men to the left or to the right of the people that are in the middle of the photo?,left,choose,rel
14845064,2319715,Who is wearing the suit?,man,query,rel
13337951,2336241,What is the knife on?,table,query,rel
02190762,2350232,What is the black animal doing?,looking down,query,attr
16643016,2361351,What kind of clothing is not white?,cap,query,cat
02988021,2331305,Is the dock gray and long?,yes,logical,attr
091036769,2408800,"Which part of the photo is the cup in, the bottom or the top?",top,choose,attr
18134995,2398329,Is there either a racket or a fence in this picture?,yes,logical,obj
08749163,2392955,Does the tablecloth look cream colored?,yes,verify,attr
04195561,2346165,What are the vegetables in?,skillet,query,rel
16495730,2341638,What clothing item is pink?,jacket,query,cat
02637808,2358465,What color are the dried leaves?,brown,query,attr
04192696,713531,What is the batter holding?,bat,query,rel
05768172,2400618,Do you see any skateboards or fences in the photo?,yes,logical,obj
04939757,2379919,Are there glasses or dish drainers?,no,logical,obj
01784679,2328946,Who is carrying the purse?,woman,query,rel
02935209,2392665,Is the kid sitting on a horse?,yes,verify,rel
02411856,2392595,What is on the wall?,poster,query,rel
08131329,2332116,What is the piece of furniture to the left of the curtains?,dresser,query,rel
14319,2392240,Do you see an airplane that is blue?,no,verify,obj
11973787,2318131,Is this a train or a truck?,train,choose,cat
11385980,2367178,Is there a taxi in the photograph?,yes,verify,obj
17198006,2331965,How is the appliance to the left of the oven that is to the left of the jar called?,refrigerator,query,rel
16733888,2370047,The person that looks young is wearing what?,pajamas,query,rel
10433135,2367895,Does the cross look large and gray?,yes,logical,attr
15734144,2353016,What animal is standing behind the fence?,donkey,query,rel
15768882,2363203,What color is the shirt?,orange,query,attr
01459667,2332472,What is the man wearing?,outfit,query,rel
09490177,2359155,Is the door dark and wide?,yes,logical,attr
06348430,2366390,Is the silver spoon to the left or to the right of the plate the drink is to the left of?,right,choose,rel
03791705,2378457,What do both the letter and the arrow have in common?,color,compare,attr
161042963,2417949,Are there plates in this photo?,no,verify,obj
17407322,2322481,Do the shorts have long length?,yes,verify,attr
02751961,2326912,Do you see any bird on the device that is on the couch?,no,verify,rel
17312110,2405349,Are there small elephants in the image?,no,verify,obj
00932663,2410196,Are there any plates or pans in this scene?,yes,logical,obj
19613738,2377561,Are there any black chairs or glasses?,yes,logical,obj
1996749,2355725,Is the path made of brick or cobblestone?,brick,choose,attr
02524467,2410898,Who is standing on the ladder on the right?,man,query,rel
111044769,1592280,On which side is the blue towel?,left,query,attr
031007883,2320373,What is the bowl on?,table,query,rel
01297760,2363316,The pan is on what?,counter,query,rel
13137031,2406090,Are there any bags on the ground in the image?,no,verify,rel
08391083,2393430,Which kind of furniture is the newspaper piled on?,shelf,query,rel
041034238,2324917,Which kind of appliance is it?,refrigerator,query,cat
16464341,2386341,Is there a black cat or bird?,no,logical,obj
01726967,2364978,Which kind of baked good is it?,pie,query,cat
17207845,2322975,Who is playing baseball?,batter,query,cat
03665512,2323700,Are the people in front of the wall sitting with a boy?,yes,verify,rel
08355123,2358894,Is the brown blanket to the left or to the right of the person that is in front of the door?,left,choose,rel
16161557,2376280,What animal is the child holding?,bear,query,rel
06144077,2390488,Who is in front of the wall?,girl,query,rel
01780525,2347615,Is the player on the right of the image?,no,verify,attr
10106049,1592044,What is located on top of the entertainment center that the sofa is to the left of?,vase,query,rel
11535681,2380448,Which kind of vegetable is waiting?,carrots,query,cat
16413846,2409066,Is the box in the top part or in the bottom of the picture?,bottom,choose,attr
19687581,2359055,Is the black bag on the right side or on the left?,right,choose,attr
05123242,2323268,What is the piece of furniture to the left of the pigeons on the sidewalk?,chair,query,rel
04893302,2321811,Are there either any bikes or napkins in this image?,no,logical,obj
11389666,713928,Are there any fences to the right of the boy?,no,verify,rel
1536492,2362724,What is the dog doing?,sleeping,query,attr
13189536,2416714,Which place is it?,road,query,global
11694134,2341991,How big are the windows?,small,query,attr
10376281,2359715,Is the table to the left of the sitting person that is wearing a shirt?,yes,verify,rel
08618443,2367922,The elephant is in front of what?,wall,query,rel
11561839,2413800,Are there any kites in the sky?,no,verify,rel
15603156,2365166,What is that envelope on?,chair,query,rel
09169309,2353106,Who is wearing glasses?,people,query,rel
07131335,2367651,What is the vegetable to the left of the cheese that is to the left of the pepperoni?,pepper,query,rel
19419571,2365176,Do you see a toast or an orange?,yes,logical,obj
19687476,2359055,Are these two people the same gender?,no,compare,attr
01107422,2397689,Is the woman to the left or to the right of the person that is wearing trousers?,left,choose,rel
03256634,2374686,What is the man holding?,rope,query,rel
191005826,2402871,What is on the road?,train,query,rel
15327474,2378167,The man is holding what?,kite,query,rel
14840896,2416294,Which color is the shirt?,red,query,attr
031054299,2329177,Is the white chair under a table?,yes,verify,rel
121016684,2387151,Is the woman on the left or on the right of the picture?,left,choose,attr
19606759,2370859,"In which part of the picture is the book, the bottom or the top?",bottom,choose,attr
15138708,2317835,Which side of the image is the toilet on?,left,query,attr
12952046,2385164,Do you see sprinkles that are not blue?,yes,verify,obj
05385693,2409481,What color are the beets in the top of the photo?,purple,query,attr
12658722,2395905,Which kind of vehicle is in the grass?,carriage,query,rel
09524384,2373158,What is the dog doing?,running,query,attr
161055762,2381697,Who is wearing trousers?,man,query,rel
11363405,712964,What color is the small boat?,white,query,attr
04640772,150274,Does the door appear to be closed?,yes,verify,attr
10468040,2324084,"What color is the huge sink, silver or cream colored?",silver,choose,attr
01601394,2408642,Is the cabinet in the top part of the image?,no,verify,attr
00555283,2368244,Which side is the fork on?,right,query,attr
03954374,2167,What color is the curtain that the couch is to the left of?,yellow,query,attr
03842923,2340935,What is the animal to the left of the donuts called?,crab,query,rel
10620687,2381410,Are both the people of the same gender?,yes,compare,attr
05346395,2389085,What's the girl wearing?,dress,query,rel
15994286,2396295,What kind of vehicle is to the right of the men?,train car,query,rel
01657089,2334942,How is the blue clothing item called?,shirt,query,cat
1260096,2354042,Is the bottle to the right or to the left of the chair?,right,choose,rel
04354476,2396447,What is in the soup?,utensil,query,rel
05743407,2406059,What kind of clothing is striped?,sweater,query,cat
0788253,2410668,What is the dog on?,surfboard,query,rel
11535018,2354285,What is the animal that this woman is looking down at?,dog,query,rel
10882985,2385070,What is the piece of furniture to the right of the end table?,couch,query,rel
02629333,2412369,What is the fence around of?,house,query,rel
02315453,2371504,What food is on the plate?,bread,query,rel
1519121,2337156,Is she wearing a watch?,no,verify,rel
09302188,2371685,Are the building and the post made of the same material?,yes,compare,attr
18561070,2346385,Which place is it?,field,query,global
06197328,2373259,What kind of furniture is the same color as the dress the person is wearing?,bar stool,query,rel
14732665,2380504,Do you see pine trees in the snow?,no,verify,rel
10518111,2389367,Are there any trucks behind the man that is wearing a hat?,no,verify,rel
12879665,2397397,How is the weather?,cloudy,query,global
02198843,2410230,Do the hat and the bucket have the same color?,yes,compare,attr
06144000,2390488,Which room is it?,living room,query,global
06647004,2326564,Are the houses on the left side or on the right of the picture?,right,choose,attr
07470052,2385432,Does the appliance that looks white look closed?,yes,verify,attr
05457435,2382213,What is the color of the bare trees?,brown,query,attr
17891535,2399387,What is the red device called?,screen,query,cat
09629770,2346651,Is the telephone in the top of the photo?,yes,verify,attr
19930056,2397231,What's the table in front of?,shelves,query,rel
06676908,2399149,Who is on the bench in the top?,people,query,rel
00737701,2364614,On which side is the pot?,right,query,attr
07616955,2354000,On which side is the lady?,right,query,attr
00760678,2389205,Is the playing catcher in front of the umpire wearing a uniform?,no,verify,rel
17590336,2384787,"How does the grass look, green or brown?",green,choose,attr
18225803,2377485,Who is standing beside the chairs on the right?,man,query,rel
1378851,2336566,What is located on top of the hydrant on the street?,hat,query,rel
06817339,2358376,Is that sky behind a bird?,no,verify,rel
16807450,2368444,Are there any benches above the brown grass?,no,verify,rel
06368433,2415085,Which kind of furniture is it?,dresser,query,cat
13136344,2405555,What kind of animal is in front of the dog?,horse,query,rel
02383363,285631,Is he to the left of a skateboard?,no,verify,rel
11862368,2407124,What is in the glass made of glass?,smoothie,query,rel
16872842,2317630,Is the carpet made of the same material as the frame?,no,compare,attr
08398332,2339831,Who is wearing the pants?,man,query,rel
03266795,2353078,Do you see either any plates or potatoes that are small?,yes,logical,obj
15278860,2404197,Is concrete used to make the floor that looks pink?,yes,verify,attr
09464524,713572,Is the man to the right or to the left of the person in the middle of the image?,left,choose,rel
0547359,2381701,"Which color is the shirt, white or purple?",white,choose,attr
06436884,2373592,Which color is the shirt the men are wearing?,red,query,attr
07907725,2366671,On which side of the photo is the man?,right,query,attr
17162458,2387947,Are there any lambs?,no,verify,obj
15894218,2363673,"What kind of animal is not perched, the seagull or the bird?",seagull,choose,cat
11207388,2316747,Is the laptop to the right or to the left of the camera on the table?,right,choose,rel
12701952,2396455,What animal is under the tree?,horse,query,rel
03468828,2355360,What is the item of furniture in front of the tree that is in front of the building called?,table,query,rel
061001368,2374409,Are there cakes or spoons in the image?,yes,logical,obj
04425475,2353024,What is on the bear?,hat,query,rel
04165743,2415263,Are the pants dark or maybe are they blue?,dark,choose,attr
10329800,2342847,Which kind of animal is to the left of the van?,bull,query,rel
14476039,2371568,"Which color are the goggles, yellow or black?",yellow,choose,attr
14205199,2409829,Are there people to the left of the skateboard?,yes,verify,rel
19501713,2342969,Is the ball to the right of a person?,no,verify,rel
09401751,2327283,What is located on top of the urinal?,toy,query,rel
08104134,2364073,Are there either any mirrors or combs?,no,logical,obj
04544759,2322918,"In which part of the image is the picture, the bottom or the top?",bottom,choose,attr
08970484,2361258,How big is the vehicle that is on the right side of the image?,small,query,attr
09954421,2342753,Is there a fire truck near the flag that is to the left of the ladder?,yes,verify,rel
13741073,2382560,Is the sidewalk behind a dog?,no,verify,rel
18182187,2381255,What appliance is below the microwave oven?,stove,query,rel
02951155,2386013,What type of furniture is this?,couch,query,cat
001035220,2372009,Is there a brown nightstand or desk in the photo?,no,logical,obj
00215488,2402117,Is there a bag or a cup that is white?,yes,logical,obj
0185698,2351588,Are there either tablecloths or forks?,no,logical,obj
02653825,2394067,Who is standing in the attic?,man,query,rel
091036658,2408800,Of what color is the skateboard?,blue,query,attr
08390792,2393431,Is the man to the left of the woman wearing shorts?,yes,verify,rel
17928924,2415373,What piece of furniture is to the left of the refrigerator?,cabinet,query,rel
10979481,2390108,Is there a pizza to the right of the fork held by the person?,yes,verify,rel
00738566,2631,What is the log covered by?,plants,query,rel
14489560,2360003,Who is carrying the purse?,girl,query,rel
06685432,2325480,Is the man that is to the left of the rope carrying an umbrella?,no,verify,rel
09849203,2328193,What color is the knee pad on the left?,blue,query,attr
16762477,2364607,What is the color of the coat the snowboarder is wearing?,pink,query,attr
01542791,2406278,Is the girl that is standing wearing a skirt?,yes,verify,rel
13461603,2345674,On which side of the photo is the vase?,right,query,attr
01521357,2330438,What is located on top of the chicken?,egg yolk,query,rel
081009456,2322771,Are there both surfboards and kites in the scene?,yes,logical,obj
1845576,2363144,On which side of the picture is the truck?,right,query,attr
10443524,2372085,Does the ground look white and snowy?,yes,logical,attr
15848287,2390389,What's the man holding?,toothbrush,query,rel
16575183,2389327,Is the bowl dirty and blue?,yes,logical,attr
04145982,2346486,Is there a woman in the image that is brunette?,yes,verify,obj
01889121,713277,What is the food to the right of the napkin beneath the knife?,biscuits,query,rel
0348141,2376548,What kind of fruit is on the full plate?,grape,query,rel
18191995,2359926,Are there glasses to the left of the phones on the right?,yes,verify,rel
18103649,2378758,Who is holding the skateboard that looks gray?,people,query,rel
16581506,2354077,Are there any drawers or beds in the image?,yes,logical,obj
13507803,2391468,Does the towel have a different color than the sink?,no,compare,attr
04205062,2327387,Which color is the icing?,white,query,attr
13357487,2403546,Who is standing in the brown dirt?,girl,query,rel
13908779,2368544,"Where in the photograph is the van, on the right or on the left?",right,choose,attr
13927489,2382847,Are there either sugar packets or mattresses?,no,logical,obj
09897845,2379479,What is the man doing?,jumping,query,attr
15138662,2317835,Which kind of furniture is in the picture?,shelf,query,cat
00935718,2362947,What type of furniture is made of the same material as the lamp on the left of the photo?,nightstand,query,rel
19992555,2376382,Is that a couch or a bed?,bed,choose,cat
10468175,2324084,Is the coffee maker to the left or to the right of the tap?,right,choose,rel
08790057,2371049,On which side of the image is the man?,right,query,attr
1771282,2411252,Are there both a fence and a street sign in the image?,yes,logical,obj
00111311,2388844,What's the bush in front of?,trees,query,rel
11302071,2349757,Are the people of the same gender?,no,compare,attr
04319120,2394172,Who is wearing the jeans?,girl,query,rel
05473446,2339910,What is on the pizza?,spinach,query,rel
02948809,2375761,Is the water bottle in the bottom?,no,verify,attr
00960303,2415620,Do you see both skateboards and ropes?,no,logical,obj
0612741,2358184,Is the field brown?,yes,verify,attr
17772714,2318766,Is the computer to the right or to the left of the books on the left side of the photo?,right,choose,rel
05451171,2382986,Is there a towel to the left of the cat?,yes,verify,rel
07131269,2367651,Are there any red plates?,yes,verify,obj
13625035,2379868,What is on the red sign?,letter,query,rel
10226033,2401073,Who is catching a frisbee?,man,query,rel
071018520,2376129,The shirt is of what color?,gray,query,attr
05476610,713580,What kind of vehicle is to the left of the man?,truck,query,rel
13278244,2389819,Is the tap below a mirror?,yes,verify,rel
12951517,2385163,The woman is holding what?,remote control,query,rel
13136458,2405555,Where is the dog behind the horse running?,beach,query,rel
17621342,2347730,On which side of the photo are the papers?,left,query,attr
01125051,2383075,Do you see any umbrellas there?,yes,verify,obj
08243912,2384830,What kind of food is to the right of the utensil on the left?,soup,query,rel
05179215,2388018,Is the red bottle full or empty?,full,choose,attr
111051994,2413465,Are there green cans or bottles?,no,logical,obj
03149337,2346794,Do the tiles look large?,no,verify,attr
14794003,107960,Are there handbags to the left of the bottle in the bottom part of the image?,yes,verify,rel
02543220,2384460,Is there a truck behind the person that is wearing a sock?,no,verify,rel
04584710,2361212,Do you see any cans or carts?,no,logical,obj
00706855,315,What vehicle is parked?,minivan,query,cat
17861435,2334149,Are there airplanes?,no,verify,obj
1399424,498126,Which kind of furniture is it?,cabinet,query,cat
101010444,2364928,Do the office chair and the door have the same color?,no,compare,attr
17709168,2316641,What vegetable is green?,parsley,query,cat
00126851,1159529,Are there carts near the pond?,yes,verify,rel
14986049,2407964,Is the child to the left or to the right of the man that is to the right of the surf board?,right,choose,rel
13907912,2371222,On which side of the picture is the plate?,left,query,attr
07886746,85,On which side of the photo is the chair?,left,query,attr
09851647,2411681,Which side of the image is the chair on?,left,query,attr
13339630,2356833,Which kind of furniture is it?,sofa,query,cat
09544113,2334924,Does the laptop on the desk look gray or dark?,dark,choose,attr
15689947,2359989,Which kind of clothing is not pink?,hat,query,cat
13376808,2322673,What vehicle is this?,carriage,query,cat
14161132,2395232,Which kind of animal is swimming in the water?,cow,query,rel
1171062,2393271,Is the jacket yellow?,no,verify,attr
10417562,2329391,What place is it?,road,query,global
18655457,2328704,What is the item of furniture to the left of the bed the blanket is on?,dresser,query,rel
19927300,2382358,Who is wearing the helmet?,policeman,query,rel
18621733,2349442,The pen is lying on what?,computer desk,query,rel
12379873,2413957,Is it outdoors?,no,verify,global
16542308,2395353,Which kind of furniture is to the left of the table?,drawers,query,rel
0074651,2391748,Is that fence behind a bench?,no,verify,rel
09703532,2341451,Which kind of vehicle is to the left of the mirror?,car,query,rel
17917621,2320493,Which place is it?,lake,query,global
01948977,2340318,What is in the basket on the countertop?,bottles,query,rel
03685790,2316696,Are there black ties or glasses?,yes,logical,obj
05166167,2396963,Is it a beach?,yes,verify,global
07872557,2384422,Do you see a bench to the right of the blue bag?,no,verify,rel
021050681,2394619,What is the man to the right of the CD wearing?,cap,query,rel
04354574,2396447,Which kind of food is to the right of the sandwich?,dessert,query,rel
01475361,2322391,The graffiti is on what?,wall,query,rel
12900671,2340446,What is the food that the bone is in?,meat,query,rel
03827629,2325456,What is in the water?,surfboard,query,rel
16761848,2364604,Which kind of cooking utensil is it?,pizza pan,query,cat
13110399,2339126,What item of furniture is the person in?,bed,query,rel
01924333,2343665,Are there any mirrors to the right of the driver?,no,verify,rel
14900663,2339998,On which side is the fence?,right,query,attr
17102186,2368765,Is the elephant behind the shrub?,no,verify,rel
02774495,2328879,Are there cats on the side of the plate that is in front of the chair?,no,verify,rel
09906808,2339330,Is it a zoo?,no,verify,global
03437151,2352380,"What size is the silver tray, large or small?",large,choose,attr
17484160,2390985,Which kind of furniture is the blender on?,shelf,query,rel
13539386,2372430,Is he behind or in front of the fence?,front,choose,rel
